Jobs_Name,Rating,Job_City,Company_Founded_Year,Type_Of_Ownership,Industry,Sector,Hourly_Salary,Employer_Provided_Salary,Salary_Lower,Salary_Upper,Salary_Avg,Company_Name,Job_State,Company_Age,Python,Spark,AWS,Excel,SQL,SAS,Keras,PyTorch,Scikit-learn,TensorFlow,Hadoop,Tableau,"Power BI",Flink,MongoDB,"Google Analytics",Job_Title_Sim,Seniority_Level,Employee_Degree,Company_id,Ownership_Category
"Data Scientist",3.8,Albuquerque,1973,"Company - Private","Aerospace & Defense","Aerospace & Defense",0,0,53000.00,91000.00,72000.00,"Tecolote Research","New Mexico",48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,"Data Scientist","Not Specified",Masters,1,Corporate
"Healthcare Data Scientist",3.4,Linthicum,1984,"Other Organization","Health Care Services & Hospitals","Health Care",0,0,63000.00,112000.00,87500.00,"University of Maryland Medical System",Maryland,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,2,Other
"Scientist/Senior Scientist, Autoimmune",4.4,Cambridge,2013,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",0,0,90000.00,179000.00,134500.00,"Rubius Therapeutics",Massachusetts,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist",Senior,PhD,3,Corporate
"Senior Data Engineer",3.2,Charlotte,2000,"Company - Private","Advertising & Marketing","Business Services",0,0,95000.00,173000.00,134000.00,"Red Ventures","North Carolina",21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer",Senior,"Not Specified",4,Corporate
"Data Scientist",4.8,Clearwater,2010,"Company - Private","Security Services","Business Services",0,0,80000.00,90000.00,85000.00,KnowBe4,Florida,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified",Masters,5,Corporate
"Data Scientist",3.8,Richland,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,56000.00,97000.00,76500.00,PNNL,Washington,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Data Scientist","Not Specified","Not Specified",6,Government
"Data Scientist",4.4,Cambridge,1999,"Company - Private","Enterprise Software & Network Solutions","Information Technology",0,0,77000.00,124000.00,100500.00,"Quick Base",Massachusetts,22,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,"Data Scientist","Not Specified","Not Specified",7,Corporate
"Staff Machine Learning Engineer",3.9,"San Francisco",2007,"Company - Private",Internet,"Information Technology",0,0,138000.00,224000.00,181000.00,Tapjoy,California,14,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"ML Engineer","Not Specified","Not Specified",8,Corporate
"Data Scientist",3.5,Cincinnati,1878,"Company - Public","TV Broadcast & Cable Networks",Media,0,0,80000.00,135000.00,107500.00,"The E.W. Scripps Company",Ohio,143,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Data Scientist","Not Specified",Masters,9,Corporate
"Data Engineer",4.0,Washington,2015,"Company - Private",Internet,"Information Technology",0,0,85000.00,159000.00,122000.00,"Upside Business Travel","District of Columbia",6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer","Not Specified","Not Specified",10,Corporate
"Principal Scientist, Hematology",3.3,Rochester,2014,Hospital,"Health Care Services & Hospitals","Health Care",0,0,54000.00,115000.00,84500.00,"Rochester Regional Health","New York",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other Scientist",Senior,PhD,11,Healthcare
"Data Engineer",3.5,"Long Beach",1985,"Company - Private","Insurance Carriers",Insurance,0,0,74000.00,138000.00,106000.00,"Lancer Insurance","New York",36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Data Engineer","Not Specified",Masters,12,Corporate
